+================================================================+
| TOP MARKET CAP COMPANIES                                       |
+================================================================+
| Date: 20260909 | Processed entries: 485                        |
+--------------------+----------+--------------------------------+
| Market Cap         | Symbol   | Company                        |
|      9,867,715,584 | PODD     | Insulet Corporation            |
|      9,598,917,632 | MTCH     | Match Group                    |
|      9,496,252,416 | WYNN     | Wynn Resorts                   |
|      9,495,071,744 | APTV     | Aptiv                          |
|      9,355,751,424 | PNR      | Pentair                        |
|      9,181,224,960 | QRVO     | Qorvo                          |
|      8,786,992,128 | MHK      | Mohawk Industries              |
|      8,737,277,952 | ARE      | Alexandria Real Estate Equi... |
|      8,595,555,328 | KMX      | CarMax                         |
|      8,433,771,520 | MOS      | Mosaic Company (The)           |
|      8,047,451,136 | EMN      | Eastman Chemical Company       |
|      7,994,142,208 | AOS      | A. O. Smith                    |
|      7,302,911,488 | CAG      | Conagra Brands                 |
|      7,241,870,848 | TAP      | Molson Coors Beverage Company  |
|      7,066,900,992 | NCLH     | Norwegian Cruise Line Holdings |
|      6,791,667,712 | LW       | Lamb Weston                    |
|      6,733,386,240 | BLDR     | Builders FirstSource           |
|      6,488,967,680 | CPB      | Campbell Soup Company          |
|      6,444,667,904 | POOL     | Pool Corporation               |
|      6,299,751,936 | LKQ      | LKQ Corporation                |
|      6,044,036,608 | CZR      | Caesars Entertainment          |
|      5,948,494,336 | EPAM     | EPAM Systems                   |
|      5,805,018,112 | TFX      | Teleflex                       |
|      5,747,703,296 | MKTX     | MarketAxess                    |
|      5,131,176,960 | ENPH     | Enphase Energy                 |
|      4,924,359,168 | AMTM     | Amentum                        |
|      4,887,119,872 | CE       | Celanese                       |
|      1,604,155,904 | FMC      | FMC Corporation                |
|          3,728,509 | PARA     | Paramount Global               |
+--------------------+----------+--------------------------------+
