+=================================================================================================+
| HIGHEST LOSERS (52-WEEK METRIC)                                                                 |
| Date: 20260908 | Processed entries: 486                                                         |
+=================================================================================================+

+----------+------------------------------------------+--------------+--------------+--------------+--------------+
| Symbol   | Name                                     | Price        | 52W Low      | 52W High     | Distance     |
| ALLE     | Allegion                                 |       157.12 |       125.00 |       183.11 |       14.19% |
| ETN      | Eaton Corporation                        |       410.85 |       311.92 |       478.00 |       14.05% |
| UNH      | UnitedHealth Group                       |       397.14 |       255.97 |       461.62 |       13.97% |
| BAX      | Baxter International                     |        25.83 |        15.73 |        30.00 |       13.90% |
| PHM      | PulteGroup                               |       124.45 |       108.49 |       144.50 |       13.88% |
| EXC      | Exelon                                   |        43.64 |        42.58 |        50.65 |       13.84% |
| T        | AT&T                                     |        25.68 |        19.89 |        29.79 |       13.80% |
| LNT      | Alliant Energy                           |        67.97 |        63.28 |        78.81 |       13.75% |
| CMG      | Chipotle Mexican Grill                   |        36.96 |        28.04 |        42.82 |       13.69% |
| HAS      | Hasbro                                   |        92.53 |        69.50 |       106.98 |       13.51% |
| UDR      | UDR Inc.                                 |        36.38 |        32.94 |        42.00 |       13.38% |
| EBAY     | eBay                                     |       103.41 |        78.03 |       119.31 |       13.33% |
| GE       | GE Aerospace                             |       337.12 |       268.91 |       388.84 |       13.30% |
| IRM      | Iron Mountain                            |       116.86 |        77.77 |       134.68 |       13.23% |
| J        | Jacobs Solutions                         |       146.23 |       105.68 |       168.44 |       13.19% |
| MAS      | Masco                                    |        72.70 |        58.16 |        83.64 |       13.08% |
| HLT      | Hilton Worldwide                         |       311.18 |       253.54 |       358.00 |       13.08% |
| ATO      | Atmos Energy                             |       167.56 |       160.10 |       192.51 |       12.96% |
| SW       | Smurfit WestRock                         |        45.83 |        32.73 |        52.65 |       12.95% |
| LIN      | Linde plc                                |       477.57 |       387.78 |       548.20 |       12.88% |
| EXPE     | Expedia Group                            |       298.04 |       185.34 |       342.00 |       12.85% |
| SYY      | Sysco                                    |        80.05 |        68.19 |        91.85 |       12.85% |
| ROK      | Rockwell Automation                      |       433.81 |       332.71 |       497.36 |       12.78% |
| KEYS     | Keysight Technologies                    |       327.21 |       158.79 |       374.96 |       12.74% |
| AIG      | American International Group             |        76.21 |        71.25 |        87.29 |       12.69% |
| MNST     | Monster Beverage                         |        43.82 |        31.04 |        50.17 |       12.66% |
| DTE      | DTE Energy                               |       136.08 |       126.23 |       155.75 |       12.63% |
| SO       | Southern Company                         |        88.11 |        83.80 |       100.84 |       12.62% |
| CVS      | CVS Health                               |        96.74 |        69.51 |       110.68 |       12.59% |
| HBAN     | Huntington Bancshares                    |        17.03 |        14.89 |        19.46 |       12.49% |
| PH       | Parker Hannifin                          |       962.59 |       715.37 |      1099.94 |       12.49% |
| TDY      | Teledyne Technologies                    |       610.65 |       483.02 |       697.67 |       12.47% |
| PPL      | PPL Corporation                          |        35.11 |        33.17 |        40.11 |       12.47% |
| PG       | Procter & Gamble                         |       146.44 |       137.62 |       167.25 |       12.44% |
| WRB      | W. R. Berkley Corporation                |        69.14 |        62.87 |        78.96 |       12.44% |
| EXR      | Extra Space Storage                      |       139.25 |       125.71 |       158.88 |       12.36% |
| CNP      | CenterPoint Energy                       |        39.67 |        37.13 |        45.26 |       12.35% |
| COR      | Cencora                                  |       330.95 |       244.82 |       377.54 |       12.34% |
| VLTO     | Veralto                                  |        96.31 |        80.03 |       109.86 |       12.33% |
| PGR      | Progressive Corporation                  |       218.95 |       189.20 |       249.71 |       12.32% |
| PNW      | Pinnacle West                            |        97.52 |        85.32 |       111.16 |       12.27% |
| AVY      | Avery Dennison                           |       175.06 |       152.42 |       199.54 |       12.27% |
| SPG      | Simon Property Group                     |       209.44 |       172.19 |       238.50 |       12.18% |
| CINF     | Cincinnati Financial                     |       171.10 |       150.00 |       194.81 |       12.17% |
| PM       | Philip Morris International              |       182.53 |       142.11 |       207.76 |       12.14% |
| MAA      | Mid-America Apartment Communities        |       128.32 |       120.30 |       145.80 |       11.99% |
| BG       | Bunge Global                             |       118.71 |        76.01 |       134.87 |       11.98% |
| WST      | West Pharmaceutical Services             |       339.97 |       223.83 |       386.00 |       11.92% |
| GRMN     | Garmin                                   |       277.03 |       186.67 |       314.28 |       11.85% |
| FTV      | Fortive                                  |        56.94 |        47.01 |        64.56 |       11.80% |
| MTD      | Mettler Toledo                           |      1345.26 |      1023.05 |      1525.17 |       11.80% |
| CPT      | Camden Property Trust                    |       105.69 |        96.53 |       119.81 |       11.79% |
| WM       | Waste Management                         |       218.99 |       194.11 |       248.13 |       11.74% |
| AMT      | American Tower                           |       175.85 |       160.06 |       199.13 |       11.69% |
| SHW      | Sherwin-Williams                         |       333.71 |       289.86 |       377.77 |       11.66% |
| WEC      | WEC Energy Group                         |       105.94 |       102.95 |       119.91 |       11.65% |
| DIS      | Walt Disney Company (The)                |       105.31 |        92.19 |       119.05 |       11.54% |
| KHC      | Kraft Heinz                              |        24.85 |        21.04 |        28.09 |       11.53% |
| RTX      | RTX Corporation                          |       200.79 |       150.61 |       226.88 |       11.50% |
| TT       | Trane Technologies                       |       447.90 |       348.06 |       505.87 |       11.46% |
| KIM      | Kimco Realty                             |        23.60 |        19.76 |        26.65 |       11.44% |
| AEP      | American Electric Power                  |       124.50 |       105.70 |       140.58 |       11.44% |
| MDT      | Medtronic                                |        94.17 |        73.31 |       106.33 |       11.44% |
| YUM      | Yum! Brands                              |       150.71 |       137.33 |       170.14 |       11.42% |
| AMCR     | Amcor                                    |        45.15 |        36.25 |        50.94 |       11.37% |
| NTAP     | NetApp                                   |       185.59 |        93.69 |       209.06 |       11.23% |
| CDW      | CDW                                      |       152.38 |        97.12 |       171.55 |       11.17% |
| VTR      | Ventas                                   |        90.27 |        66.54 |       101.60 |       11.15% |
| MSCI     | MSCI                                     |       573.01 |       501.08 |       644.77 |       11.13% |
| LLY      | Lilly (Eli)                              |      1149.36 |       712.05 |      1292.65 |       11.08% |
| OXY      | Occidental Petroleum                     |        60.04 |        38.80 |        67.45 |       10.99% |
| EQR      | Equity Residential                       |        63.66 |        57.57 |        71.50 |       10.97% |
| ITW      | Illinois Tool Works                      |       270.12 |       238.82 |       303.16 |       10.90% |
| FE       | FirstEnergy                              |        46.77 |        42.87 |        52.34 |       10.64% |
| CL       | Colgate-Palmolive                        |        88.77 |        74.55 |        99.33 |       10.63% |
| MO       | Altria                                   |        68.88 |        54.70 |        77.06 |       10.62% |
| DUK      | Duke Energy                              |       120.22 |       113.90 |       134.49 |       10.61% |
